name,type,location,lon,lat,year_founded,owner_publisher,pages,language,printing_location,printed,printed_caveat,distributed,comment
Kyaymon (The Mirror),state daily,Taunggyi,97.035979,20.774773,,,,,,,,,
Myanma Alinn,state daily,Taunggyi,97.035979,20.774773,,,,,,,,,
The Global New Light of Myanmar,state daily,Taunggyi,97.035979,20.774773,,,,,,,,,
Myawaddy Daily,military daily,Taunggyi,97.035979,20.774773,,,,,,,,,
Standard Time Daily,private daily,Taunggyi,97.035979,20.774773,,,,,,,,,
Daily Eleven,private daily,Taunggyi,97.035979,20.774773,,,,,,,,,
7 Day Daily,private daily,Taunggyi,97.035979,20.774773,,,,,,,,,
Democracy Today,private daily,Taunggyi,97.035979,20.774773,,,,,,,,,
The Voice Daily,private daily,Taunggyi,97.035979,20.774773,,,,,,,,,
The Myanmar Times,private daily,Taunggyi,97.035979,20.774773,,,,,,,,,
Pyidaungsu Union Daily,political party daily,Taunggyi,97.035979,20.774773,,,,,,,,,
Kyaymon (The Mirror),state daily,Myitkyina,97.390355,25.387488,,,,,,,,,
Myanma Alinn,state daily,Myitkyina,97.390355,25.387488,,,,,,,,,
The Global New Light of Myanmar,state daily,Myitkyina,97.390355,25.387488,,,,,,,,,
Myawaddy Daily,military daily,Myitkyina,97.390355,25.387488,,,,,,,,,
Standard Time Daily,private daily,Myitkyina,97.390355,25.387488,,,,,,,,,
Daily Eleven,private daily,Myitkyina,97.390355,25.387488,,,,,,,,,
7 Day Daily,private daily,Myitkyina,97.390355,25.387488,,,,,,,,,
Democracy Today,private daily,Myitkyina,97.390355,25.387488,,,,,,,,,
The Voice Daily,private daily,Myitkyina,97.390355,25.387488,,,,,,,,,
Pyidaungsu Union Daily,political party daily,Myitkyina,97.390355,25.387488,,,,,,,,,
Kyaymon (The Mirror),state daily,Sagaing,95.962311,21.880079,,,,,,,,,
Myanma Alinn,state daily,Sagaing,95.962311,21.880079,,,,,,,,,
The Global New Light of Myanmar,state daily,Sagaing,95.962311,21.880079,,,,,,,,,
Myawaddy Daily,military daily,Sagaing,95.962311,21.880079,,,,,,,,,
Standard Time Daily,private daily,Sagaing,95.962311,21.880079,,,,,,,,,
Daily Eleven,private daily,Sagaing,95.962311,21.880079,,,,,,,,,
7 Day Daily,private daily,Sagaing,95.962311,21.880079,,,,,,,,,
Democracy Today,private daily,Sagaing,95.962311,21.880079,,,,,,,,,
The Voice Daily,private daily,Sagaing,95.962311,21.880079,,,,,,,,,
Pyidaungsu Union Daily,political party daily,Sagaing,95.962311,21.880079,,,,,,,,,
Kyaymon (The Mirror),state daily,Dawei,98.189521,14.076799,,,,,,,,,
Myanma Alinn,state daily,Dawei,98.189521,14.076799,,,,,,,,,
The Global New Light of Myanmar,state daily,Dawei,98.189521,14.076799,,,,,,,,,
Myawaddy Daily,military daily,Dawei,98.189521,14.076799,,,,,,,,,
Standard Time Daily,private daily,Dawei,98.189521,14.076799,,,,,,,,,
Daily Eleven,private daily,Dawei,98.189521,14.076799,,,,,,,,,
7 Day Daily,private daily,Dawei,98.189521,14.076799,,,,,,,,,
Democracy Today,private daily,Dawei,98.189521,14.076799,,,,,,,,,
The Voice Daily,private daily,Dawei,98.189521,14.076799,,,,,,,,,
